Time,Title,Count,AvgCount,TotalCount
,即時串流影片群眾監測軟體,0,0.0,0
2021-09-17 03:25:11 - ,即時串流影片群眾監測軟體,0,0.0,0
2021-09-17 03:25:21 - ,即時串流影片群眾監測軟體,8,8,9
2021-09-17 03:25:29 - ,即時串流影片群眾監測軟體,7,7,14
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0,,即時串流影片群眾監測軟體,0,0.0,0,,即時串流影片群眾監測軟體,0,0.0,0,,即時串流影片群眾監測軟體,0,0.0,0,,即時串流影片群眾監測軟體,0,0.0,0,,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
,即時串流影片群眾監測軟體,0,0.0,0
2021-09-17 11:37:20 - ,即時串流影片群眾監測軟體,5,5,45
2021-09-17 11:37:24 - ,即時串流影片群眾監測軟體,11,11,46
2021-09-17 11:37:27 - ,即時串流影片群眾監測軟體,11,11,46
2021-09-17 11:37:29 - ,即時串流影片群眾監測軟體,15,15,50
2021-09-17 11:37:33 - ,即時串流影片群眾監測軟體,20,20,54
2021-09-17 11:37:36 - ,即時串流影片群眾監測軟體,14,14,54
2021-09-17 11:37:40 - ,即時串流影片群眾監測軟體,21,21,55
2021-09-17 11:37:42 - ,即時串流影片群眾監測軟體,15,21,55
2021-09-17 11:37:46 - ,即時串流影片群眾監測軟體,5,5,55
2021-09-17 11:37:49 - ,即時串流影片群眾監測軟體,8,8,55
2021-09-17 11:37:52 - ,即時串流影片群眾監測軟體,0,2,55
2021-09-17 11:37:56 - ,即時串流影片群眾監測軟體,0,0,55
2021-09-17 11:37:59 - ,即時串流影片群眾監測軟體,0,0,55
2021-09-17 11:38:01 - ,即時串流影片群眾監測軟體,0,0,55
2021-09-17 11:38:05 - ,即時串流影片群眾監測軟體,0,0,55
2021-09-17 11:38:06 - ,即時串流影片群眾監測軟體,1,1,55
2021-09-17 11:38:10 - ,即時串流影片群眾監測軟體,7,7,55
2021-09-17 11:38:14 - ,即時串流影片群眾監測軟體,12,12,55
2021-09-17 11:38:15 - ,即時串流影片群眾監測軟體,14,14,55
2021-09-17 11:38:19 - ,即時串流影片群眾監測軟體,12,12,55
2021-09-17 11:38:21 - ,即時串流影片群眾監測軟體,11,12,55
2021-09-17 11:38:25 - ,即時串流影片群眾監測軟體,9,14,55
2021-09-17 11:38:27 - ,即時串流影片群眾監測軟體,11,11,56
2021-09-17 11:38:31 - ,即時串流影片群眾監測軟體,14,14,56
2021-09-17 11:38:34 - ,即時串流影片群眾監測軟體,14,14,57
2021-09-17 11:38:36 - ,即時串流影片群眾監測軟體,9,14,57
2021-09-17 11:38:40 - ,即時串流影片群眾監測軟體,8,13,57
2021-09-17 11:38:43 - ,即時串流影片群眾監測軟體,6,9,57
2021-09-17 11:38:47 - ,即時串流影片群眾監測軟體,9,11,57
2021-09-17 11:38:49 - ,即時串流影片群眾監測軟體,13,13,57
2021-09-17 11:38:52 - ,即時串流影片群眾監測軟體,11,11,57
2021-09-17 11:38:54 - ,即時串流影片群眾監測軟體,14,14,57
2021-09-17 11:38:58 - ,即時串流影片群眾監測軟體,14,10,58
2021-09-17 11:39:00 - ,即時串流影片群眾監測軟體,17,17,58
2021-09-17 11:39:02 - ,即時串流影片群眾監測軟體,18,17,58
2021-09-17 11:39:07 - ,即時串流影片群眾監測軟體,7,21,59
2021-09-17 11:39:10 - ,即時串流影片群眾監測軟體,7,7,59
2021-09-17 11:39:12 - ,即時串流影片群眾監測軟體,8,7,59
