Time,Title,Count,AvgCount,TotalCount
2021-09-17 11:20:36 - ,韓國街道人流測試,3,3,3
2021-09-17 11:20:39 - ,韓國街道人流測試,3,3,3
2021-09-17 11:20:42 - ,韓國街道人流測試,3,3,3
2021-09-17 11:20:45 - ,韓國街道人流測試,3,3,3
2021-09-17 11:20:48 - ,韓國街道人流測試,3,3,3
2021-09-17 11:20:51 - ,韓國街道人流測試,3,3,3
2021-09-17 11:20:54 - ,韓國街道人流測試,3,3,3
2021-09-17 11:20:57 - ,韓國街道人流測試,3,3,3
2021-09-17 11:21:00 - ,韓國街道人流測試,3,3,3
2021-09-17 11:21:03 - ,韓國街道人流測試,3,3,6
2021-09-17 11:21:05 - ,韓國街道人流測試,3,3,6
2021-09-17 11:21:09 - ,韓國街道人流測試,2,3,6
2021-09-17 11:21:12 - ,韓國街道人流測試,3,3,6
2021-09-17 11:21:15 - ,韓國街道人流測試,2,2,6
2021-09-17 11:21:17 - ,韓國街道人流測試,2,2,6
2021-09-17 11:21:21 - ,韓國街道人流測試,1,2,6
2021-09-17 11:21:24 - ,韓國街道人流測試,2,2,6
2021-09-17 11:21:27 - ,韓國街道人流測試,1,1,7
2021-09-17 11:21:29 - ,韓國街道人流測試,0,0,7
2021-09-17 11:21:33 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:36 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:40 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:42 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:46 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:48 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:51 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:54 - ,韓國街道人流測試,1,1,8
2021-09-17 11:21:58 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:01 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:04 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:06 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:09 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:12 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:15 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:18 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:22 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:24 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:27 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:30 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:33 - ,韓國街道人流測試,1,2,8
2021-09-17 11:22:36 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:40 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:43 - ,韓國街道人流測試,0,0,8
2021-09-17 11:22:45 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:48 - ,韓國街道人流測試,1,1,8
2021-09-17 11:22:51 - ,韓國街道人流測試,3,3,10
2021-09-17 11:22:54 - ,韓國街道人流測試,4,6,13
2021-09-17 11:22:57 - ,韓國街道人流測試,6,5,14
2021-09-17 11:23:00 - ,韓國街道人流測試,6,6,17
